Name,Final KP,Target Rate
WA 白鸟,2016959615,9.675966339
トトロtotoro,929505903,5.481080186
ˢᵖNekoNeko,763409156,5.100378617
Lochan又ローザン,742692013,4.81340111
ˢᵈCure Eris,758378085,4.213933477
Shino乃メTB,819691043,4.186975925
cheeeeese,736423131,4.1745721
ʚさいつよHINAちょɞ,839927248,4.15876502
ᴿᴬにゃんこせんせい,583719396,3.531391124
ˢᵖShibainu,591742903,3.430384732
ˢᵖPifouPrime,536369625,3.14729929
ˢᵖさだはる,362016139,2.758670561
ˢᵖnou,432129609,2.341416345
ˢᵖニレニレ,399027214,2.305849257
ˢᵖ Fateフェイト,299164240,1.982332628
2GoG,276084358,1.930697623
ˢᵖうたはxWXZ,185534523,1.883463035
ᴿᴬshik,273136624,1.875372288
ˢᵖ鬼ゴリ2,293950986,1.858788204
ˢᵖぼるぅ,212403289,1.741007141
ᵛᵐincubator,190960550,1.360370263
ˢᵖKiara,254745401,1.313301223
ˢᵖJungarian,205683145,1.280057571
MrJ TB,186932182,1.279989703
ˢᵖYT ntyaa,99068280,1.169948042
いろくん,103963074,1.166718597
727Michiru,217970179,1.144974189
さか333,190236414,1.144729803
ばんともTB,176350332,1.115864508
ˢᵖアシュラくん,104609977,1.103955634
Hanmàri,63733566,1.10237237
ᴺᴷAsaha,178725319,1.085149161
かまぽこ,193504053,1.071736181
Amber101,139609627,1.048070091
ˢᵖmelonパフェ,157402500,1.039248326
F 15 EX,66506623,1.02382912
sp General Hux,70140579,0.978122274
ItsErenMofo,81618568,0.906651171
madrati,51388433,0.897657261
Kishi堕メTB,149836949,0.818104217
怠k4ren惰,109824324,0.809221067
マンホール,68981468,0.803758246
ˢᵖsiqnuA๛,54418586,0.790165182
ˢᵖHanabee,96627823,0.757674903
ᴺᴷParyF,57783902,0.737915502
ᴰᵃ三日月,82854216,0.658987948
煉獄 Rengoku,84623074,0.616413548
ˢᵖ to9naga,103731676,0.585884277
ˢᵖゆきⅡ,41796821,0.58059646
ˢᵖ Casval R,77820464,0.541576961
ˢᵖnou siege,35243693,0.533110821
ˢᵖKAKEYAN,36947143,0.52491906
ˢᵖひろつく,47137774,0.460524009
ᴺᴷNoxFox,41440139,0.460484977
ˢᵖShurik S,49415174,0.438720065
ˢ ˣ Bluẻ,60708272,0.431094827
ˢᵖ Gentaaa,39727922,0.417922924
ˢᵖkuji3,28276071,0.416757596
Muro66,53746849,0.416227175
ˢᵖ柴吉くん,33012676,0.404336161
シュモ,44992263,0.400404694
ˢᵖミカエル,32615542,0.39524355
ˢᵖ Mao Yangi,26389663,0.376284696
ˢᵖ hýdë,58634791,0.332461831
衛宮士郎,49150151,0.299564139
ItsmeSagi,36030447,0.296796613
ˢᵖ 雪音,18685364,0.294990178
Itachi Minii,24782061,0.27342359
Taro112211,14868292,0.252125516
ᵛᵐPineapple,33769690,0.225757325
61メᶠᴸMaxxs,24984679,0.225264471
ˢᵖBeanまめじい,36651559,0.22285211
ˢᴾNaruOJ,33860880,0.209823217
白鸟盖旗号,5216522,0.182400938
ˢᵖZenӦ,15591204,0.154314148
ハクちゃん,11737095,0.153728367
ˢᵖコキン,14860420,0.15030511
ᴺᴷJungarian,9585590,0.139240685
Hii V,10024500,0.075303705
ˢᵖAsaha,3531658,0.075051875
ˢᵖGUNDAMx亗,4523500,0.050399716
ᴺᴷLincLonc,2941484,0.0392577
